IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:37:07状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: 其他 | 时间: 2024-04-16 23:37:14状态: Referer验证失败
IP: 222.187.222.103 | 域名: www.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-16 23:42:52状态: Referer验证失败
IP: 43.248.186.181 | 域名: www.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:42:57状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-16 23:51:39状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-16 23:56:52状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-16 23:57:40状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:58:04状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-16 23:58:05状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:58:10状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:58:11状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:58:12状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:58:18状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:58:38状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-16 23:58:42状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-16 23:58:43状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-16 23:58:53状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:58:54状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-16 23:58:55状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: HarmonyOS | 时间: 2024-04-16 23:58:58状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:59:00状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-16 23:59:04状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-16 23:59:04状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:59:11状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-16 23:59:12状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-16 23:59:17状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-16 23:59:43状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-16 23:59:46状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-16 23:59:47状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-16 23:59:52状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-16 23:59:59状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-17 00:00:04状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-17 00:00:08状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-17 00:00:10状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-17 00:00:11状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:00:14状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:00:23状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:00:31状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: PC设备 | 时间: 2024-04-17 00:00:33状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:00:35状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:00:37状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:42状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:46状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:00:46状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:00:48状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:49状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:52状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:54状态: Referer验证成功
